baseline,scenario_name,algorithm,size,optimizer,annealings,iterations,status,score,evaluation,exec_time,total_cost,max_time
qb-nonlinear,scenario1,twolocalrandom,10,nonlinear,10,40,solution_found,200.74709674462724,200.74709674462724,25.02496518008411,205.57419348925444,195.92000000000002
qb-linear,scenario1,vqe,10,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.021123170852661133,171.90508827040702,294.15999999999997
qb-linear,scenario2,dj,10,linear,-,-,solution_found,-1535.216906290117,-565.6359819847767,0.016643527895212173,565.6359819847767,1296.12
qb-linear,scenario2,qpeexact,10,linear,-,-,no_solution_found,-,-,0.010473566129803658,-,-
qb-linear,scenario1,realamprandom,8,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.01994345523416996,171.90508827040702,294.15999999999997
qb-nonlinear,scenario1,qpeexact,6,nonlinear,10,40,no_solution_found,-,-,0.002476304769515991,-,-
qb-nonlinear,scenario3,qft,6,nonlinear,10,40,solution_found,195.1,195.1,14.960032280534506,205.683304777869,195.1
qb-linear,scenario2,dj,8,linear,-,-,solution_found,-1535.216906290117,-565.6359819847767,0.017580857500433922,565.6359819847767,1296.12
qb-linear,scenario3,wstate,8,linear,-,-,no_solution_found,-,-,0.01204276829957962,-,-
qb-linear,scenario1,dj,10,linear,-,-,solution_found,856.9517614238332,491.0464963608674,0.03782940097153187,471.0529927217349,511.04
qb-linear,scenario3,dj,10,linear,-,-,solution_found,446.02,413.04,0.016207220032811165,454.6951911697324,413.04
qb-linear,scenario3,ghz,8,linear,-,-,solution_found,693.2,661.04,0.01663760282099247,764.7153608513379,661.04
qb-nonlinear,scenario3,wstate,10,nonlinear,10,40,solution_found,1331.6,1331.6,22.843481179326773,1647.757812987745,1331.6
qb-linear,scenario2,wstate,10,linear,-,-,no_backends_available,-,-,-,-,-
qb-nonlinear,scenario3,dj,6,nonlinear,10,40,solution_found,374.6,374.6,16.822138596326113,460.8279566182383,374.6
qb-nonlinear,scenario1,twolocalrandom,6,nonlinear,10,40,solution_found,200.8255560048561,200.8255560048561,22.900200439617038,204.8511120097122,196.8
qb-linear,scenario2,wstate,8,linear,-,-,no_backends_available,-,-,-,-,-
qb-nonlinear,scenario1,qaoa,6,nonlinear,10,40,solution_found,574.881228384063,574.881228384063,11.030407348647714,490.49245676812586,659.2700000000001
qb-nonlinear,scenario2,qpeexact,6,nonlinear,10,40,solution_found,-752.2273798107082,-752.2273798107082,22.129099724814296,752.2273798107082,1580.6200000000001
qb-linear,scenario1,qnn,10,linear,-,-,solution_found,536.4831160074561,317.0453467369869,0.01947985589504242,247.13069347397382,386.96000000000004
qb-nonlinear,scenario2,ghz,8,nonlinear,10,40,solution_found,-786.7974872135189,-786.7974872135189,9.237515464425087,786.7974872135189,1550.6499999999999
qb-linear,scenario2,vqe,8,linear,-,-,solution_found,-881.3454744713816,-251.3387501360923,0.01653078943490982,251.3387501360923,849.32
qb-linear,scenario2,ghz,6,linear,-,-,solution_found,-1917.7313161963475,-745.2467187855067,0.01399231143295765,745.2467187855067,1369.92
qb-nonlinear,scenario1,realamprandom,10,nonlinear,10,40,solution_found,200.70478871953173,200.70478871953173,24.573538072407246,205.3395774390635,196.07
qb-linear,scenario3,qpeexact,10,linear,-,-,solution_found,867.17,829.84,0.015606079250574112,751.7761306845786,829.84
qb-nonlinear,scenario1,qft,10,nonlinear,10,40,solution_found,200.4797520663588,200.4797520663588,24.430872339755297,205.28950413271758,195.67000000000002
qb-linear,scenario1,qaoa,10,linear,-,-,solution_found,986.352594306552,602.007717392393,0.023727286607027054,483.45543478478623,720.56
qb-nonlinear,scenario1,wstate,10,nonlinear,10,40,no_backends_available,-,-,-,-,-
qb-nonlinear,scenario2,qnn,8,nonlinear,10,40,solution_found,-365.57974876943325,-365.57974876943325,21.72625482454896,365.57974876943325,1084.92
qb-linear,scenario3,qpeexact,8,linear,-,-,solution_found,867.17,829.84,0.0195881649851799,751.7761306845786,829.84
qb-nonlinear,scenario2,vqe,10,nonlinear,10,40,solution_found,-252.98974610910784,-252.98974610910784,22.25782728381455,252.98974610910784,669.12
qb-nonlinear,scenario1,ghz,6,nonlinear,10,40,no_solution_found,-,-,0.0026543550193309784,-,-
qb-nonlinear,scenario2,ghz,10,nonlinear,10,40,no_solution_found,-,-,0.0030656754970550537,-,-
qb-linear,scenario2,ghz,8,linear,-,-,solution_found,-1973.7919621890228,-790.441413341078,0.016214517876505852,790.441413341078,1322.5
qb-nonlinear,scenario1,realamprandom,6,nonlinear,10,40,solution_found,200.3916706999168,200.3916706999168,23.379301412031054,204.51334139983362,196.26999999999998
qb-nonlinear,scenario1,dj,6,nonlinear,10,40,solution_found,470.48436484121737,470.48436484121737,17.447183527052402,476.89872968243475,464.07
qb-linear,scenario1,twolocalrandom,6,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.020062634721398354,171.90508827040702,294.15999999999997
qb-linear,scenario2,qpeexact,8,linear,-,-,no_solution_found,-,-,0.01020805723965168,-,-
qb-nonlinear,scenario2,realamprandom,8,nonlinear,10,40,solution_found,-253.33827767647628,-253.33827767647628,22.169560620561242,253.33827767647628,735.32
qb-nonlinear,scenario1,realamprandom,8,nonlinear,10,40,solution_found,200.34857333907263,200.34857333907263,23.510418009012938,205.39714667814525,195.3
qb-nonlinear,scenario2,qpeexact,8,nonlinear,10,40,no_solution_found,-,-,0.00287662073969841,-,-
qb-linear,scenario3,qft,6,linear,-,-,solution_found,265.6,229.51999999999998,0.01763845607638359,200.07617253840908,229.51999999999998
qb-nonlinear,scenario1,ghz,10,nonlinear,10,40,no_backends_available,-,-,-,-,-
qb-linear,scenario3,qaoa,8,linear,-,-,solution_found,505.76,473.36,0.016277045011520386,535.3690667760226,473.36
qb-nonlinear,scenario2,qft,10,nonlinear,10,40,solution_found,-253.42925794468542,-253.42925794468542,22.66943357512355,253.42925794468542,702.5200000000001
qb-nonlinear,scenario3,qaoa,10,nonlinear,10,40,solution_found,432.56,432.56,18.96784608066082,539.4209569523771,432.56
