scenario_name,algorithm,size,annealings,iterations,status,evaluation,exec_time
scenario3,twolocalrandom,8,1,5,solution_found,229.92000000000002,0.3530560117214918
scenario2,vqe,6,10,15,solution_found,247.34065971833903,8.21942694671452
scenario3,realamprandom,10,10,1,solution_found,204.32999999999998,0.7670156341046095
scenario1,realamprandom,8,25,10,solution_found,202.1635535231216,15.918087450787425
scenario1,qaoa,8,10,1,solution_found,596.1030126552462,0.5135899614542723
scenario3,qaoa,10,15,5,solution_found,465.12000000000006,4.146989028900862
scenario1,vqe,6,25,20,solution_found,200.58283677656303,29.60751044563949
scenario2,realamprandom,10,1,55,solution_found,251.6219533873079,3.584300661459565
scenario1,realamprandom,10,20,35,solution_found,200.79931660662123,41.99942574836314
scenario1,qaoa,6,5,40,solution_found,576.4812739562741,5.211474496871233
scenario3,qaoa,10,10,30,solution_found,434.50000000000006,14.518895065411925
scenario3,vqe,6,25,15,solution_found,195.47,14.522475378587842
scenario3,qaoa,6,25,60,solution_found,433.07000000000005,63.523659728467464
scenario3,twolocalrandom,10,1,45,solution_found,202.96,2.1456433795392513
scenario2,realamprandom,6,1,1,solution_found,223.12653430989178,0.1991586796939373
scenario1,qnn,6,15,10,solution_found,278.5308095464063,9.551730716601014
scenario1,realamprandom,6,20,10,solution_found,204.98069409703402,12.192642463371158
scenario3,twolocalrandom,8,1,35,solution_found,201.26999999999998,1.5212586391717196
scenario3,twolocalrandom,10,5,15,solution_found,201.3,3.142253613099456
scenario2,twolocalrandom,6,15,55,solution_found,253.65521948716304,42.755156468600035
scenario2,qft,8,15,1,solution_found,232.84801744044813,1.447480995208025
scenario1,twolocalrandom,8,30,40,solution_found,200.11473959030917,70.15568048506975
scenario3,qft,8,1,45,solution_found,194.92000000000002,2.4439695682376623
scenario2,qnn,8,10,30,solution_found,364.65557138909855,16.702739408239722
scenario1,qnn,6,10,5,solution_found,277.5632911602705,3.5905266497284174
scenario2,qnn,10,5,40,solution_found,364.58714601199307,11.566920164972544
scenario3,qft,8,5,60,solution_found,194.37,11.596807224676013
scenario1,realamprandom,10,1,50,solution_found,202.41848213472008,3.4468163549900055
scenario2,realamprandom,10,20,35,solution_found,253.43144471645334,38.895459515973926
scenario2,qft,8,5,45,solution_found,252.7981153777959,12.291803000494838
scenario1,twolocalrandom,6,25,45,solution_found,200.21356857754373,64.32406558841467
