baseline,scenario_name,algorithm,size,optimizer,annealings,iterations,status,score,evaluation,exec_time,total_cost,max_time,min_fidelity
qb-nonlinear,scenario1,twolocalrandom,6,nonlinear,10,40,solution_found,200.3853213286885,200.3853213286885,23.37432706914842,204.700642657377,196.07,0.9566
qb-nonlinear,scenario1,qaoa,6,nonlinear,10,40,solution_found,575.1674129116652,575.1674129116652,10.552245961502194,490.8348258233302,659.5000000000001,0.9026
qb-linear,scenario1,qnn,10,linear,-,-,solution_found,536.4831160074561,317.0453467369869,0.021973412483930588,247.13069347397382,386.96000000000004,0.9384
qb-linear,scenario2,vqe,8,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07680462673306465,225.7945678772191,580.52,0.4991
qb-nonlinear,scenario1,realamprandom,10,nonlinear,10,40,solution_found,200.5622839571024,200.5622839571024,24.11009473539889,205.05456791420482,196.07,0.9565
qb-nonlinear,scenario1,qft,10,nonlinear,10,40,solution_found,200.5295370470401,200.5295370470401,24.296944469213486,205.45907409408017,195.60000000000002,0.9566
qb-linear,scenario1,qaoa,10,linear,-,-,no_solution_found,-,-,0.014224575832486153,-,-,-
qb-nonlinear,scenario2,qnn,8,nonlinear,10,40,solution_found,-365.55217017620026,365.55217017620026,21.73533264361322,365.55217017620026,1057.02,0.8866
qb-nonlinear,scenario2,vqe,10,nonlinear,10,40,solution_found,-253.15013632472395,253.15013632472395,22.54341746121645,253.15013632472395,720.5200000000001,0.9047
qb-nonlinear,scenario1,realamprandom,6,nonlinear,10,40,solution_found,200.78214323287125,200.78214323287125,23.229629831388593,202.75428646574252,198.81,0.9567
qb-nonlinear,scenario1,dj,6,nonlinear,10,40,solution_found,469.773874484295,469.773874484295,17.93047438375652,477.69774896859,461.85,0.9084
qb-linear,scenario1,twolocalrandom,6,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.021512966603040695,171.90508827040702,294.15999999999997,0.9539
qb-nonlinear,scenario2,realamprandom,8,nonlinear,10,40,solution_found,-253.02085372487792,253.02085372487792,21.939159525558352,253.02085372487792,685.9200000000001,0.8909
qb-nonlinear,scenario1,realamprandom,8,nonlinear,10,40,solution_found,200.6808441217541,200.6808441217541,23.651283636689186,204.95168824350822,196.41,0.9566
qb-linear,scenario3,qft,6,linear,-,-,solution_found,265.6,229.51999999999998,0.016761068254709244,200.07617253840908,229.51999999999998,0.9564
qb-linear,scenario3,qaoa,8,linear,-,-,no_solution_found,-,-,0.01212899200618267,-,-,-
qb-nonlinear,scenario2,qft,10,nonlinear,10,40,solution_found,-252.83110264429513,252.83110264429513,22.461590697988868,252.83110264429513,730.72,0.9138
qb-nonlinear,scenario3,qaoa,10,nonlinear,10,40,solution_found,433.07000000000005,433.07000000000005,18.84564141370356,540.064838457861,433.07000000000005,0.8789
qb-nonlinear,scenario2,realamprandom,10,nonlinear,10,40,solution_found,-253.0101931605969,253.0101931605969,22.48005765490234,253.0101931605969,678.32,0.8863
qb-nonlinear,scenario1,twolocalrandom,8,nonlinear,10,40,solution_found,200.5212685382956,200.5212685382956,23.996769780293107,204.5725370765912,196.47,0.9565
qb-linear,scenario3,twolocalrandom,8,linear,-,-,solution_found,265.6,229.51999999999998,0.016797678545117378,200.07617253840908,229.51999999999998,0.9564
qb-linear,scenario3,vqe,10,linear,-,-,solution_found,265.6,229.51999999999998,0.015900643542408943,200.07617253840908,229.51999999999998,0.9564
qb-linear,scenario2,realamprandom,6,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07596183754503727,225.7945678772191,580.52,0.4991
qb-linear,scenario3,qnn,10,linear,-,-,solution_found,380.63,338.24,0.01779961585998535,251.71096525707927,338.24,0.9381
qb-nonlinear,scenario1,qnn,6,nonlinear,10,40,solution_found,273.45649768696757,273.45649768696757,23.440457120537758,292.0429953739351,254.87,0.9378
qb-nonlinear,scenario3,dj,10,nonlinear,10,40,solution_found,373.1,373.1,19.121089074760675,459.7242209716781,373.1,0.8987
qb-nonlinear,scenario1,qaoa,10,nonlinear,10,40,solution_found,576.9079152131587,576.9079152131587,11.24436505138874,490.7158304263174,663.1000000000001,0.9026
qb-linear,scenario2,qaoa,6,linear,-,-,solution_found,-749.9999906088016,303.8800669815981,0.12384377233684063,303.8800669815981,1525.0700000000002,0.6303
qb-nonlinear,scenario1,vqe,6,nonlinear,10,40,solution_found,200.8371109384295,200.8371109384295,23.564864549785852,202.624221876859,199.05,0.9567
qb-nonlinear,scenario3,twolocalrandom,10,nonlinear,10,40,solution_found,195.76,195.76,16.15109871700406,206.38933962126495,195.76,0.9565
qb-linear,scenario2,qnn,6,linear,-,-,solution_found,-749.999990189297,290.7485142031338,0.029322771355509758,290.7485142031338,775.76,0.0
qb-nonlinear,scenario3,qaoa,6,nonlinear,10,40,solution_found,432.7000000000001,432.7000000000001,16.821905624121428,540.3644260654319,432.7000000000001,0.8789
qb-linear,scenario3,twolocalrandom,10,linear,-,-,solution_found,265.6,229.51999999999998,0.01815444976091385,200.07617253840908,229.51999999999998,0.9564
qb-nonlinear,scenario1,qft,6,nonlinear,10,40,solution_found,200.4631166216176,200.4631166216176,23.358857864513993,205.25623324323516,195.67000000000002,0.9566
qb-linear,scenario2,twolocalrandom,10,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.076656898483634,225.7945678772191,580.52,0.4991
qb-nonlinear,scenario1,qaoa,8,nonlinear,10,40,solution_found,576.1610277012143,576.1610277012143,11.03828888759017,490.3220554024287,661.9999999999999,0.9027
qb-linear,scenario2,realamprandom,8,linear,-,-,solution_found,-749.9999926263873,225.7945678772191,0.07723804377019405,225.7945678772191,580.52,0.4991
qb-nonlinear,scenario2,qaoa,6,nonlinear,10,40,solution_found,-672.9665849173798,672.9665849173798,23.33244418911636,672.9665849173798,1698.72,0.8539
qb-nonlinear,scenario1,qft,8,nonlinear,10,40,solution_found,200.30630103152066,200.30630103152066,23.989014664664865,205.81260206304134,194.8,0.9565
qb-linear,scenario1,vqe,6,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.022119630128145218,171.90508827040702,294.15999999999997,0.9539
qb-linear,scenario3,dj,6,linear,-,-,solution_found,1743.7,1540.07,0.022119861096143723,278.8184909091729,1540.07,0.8975
qb-nonlinear,scenario1,qnn,10,nonlinear,10,40,solution_found,274.0159955420788,274.0159955420788,24.887092892080545,291.36199108415764,256.67,0.9378
